[mandelbrot serial]:		[1138.104] ms
Wrote image file mandelbrot-serial.ppm
Thread 3: [81.667] ms (75 rows, interleaved)
Thread 10: [79.419] ms (75 rows, interleaved)
Thread 7: [79.814] ms (75 rows, interleaved)
Thread 0: [84.121] ms (75 rows, interleaved)
Thread 4: [154.625] ms (75 rows, interleaved)
Thread 1: [160.527] ms (75 rows, interleaved)
Thread 2: [166.882] ms (75 rows, interleaved)
Thread 12: [163.069] ms (75 rows, interleaved)
Thread 9: [164.082] ms (75 rows, interleaved)
Thread 14: [83.780] ms (75 rows, interleaved)
Thread 8: [164.583] ms (75 rows, interleaved)
Thread 13: [84.638] ms (75 rows, interleaved)
Thread 6: [170.030] ms (75 rows, interleaved)
Thread 11: [94.092] ms (75 rows, interleaved)
Thread 5: [175.419] ms (75 rows, interleaved)
Thread 15: [178.610] ms (75 rows, interleaved)
Thread 1: [67.368] ms (75 rows, interleaved)
Thread 7: [66.589] ms (75 rows, interleaved)
Thread 2: [68.643] ms (75 rows, interleaved)
Thread 3: [87.045] ms (75 rows, interleaved)
Thread 4: [91.093] ms (75 rows, interleaved)
Thread 9: [90.509] ms (75 rows, interleaved)
Thread 15: [81.438] ms (75 rows, interleaved)
Thread 12: [78.009] ms (75 rows, interleaved)
Thread 13: [92.253] ms (75 rows, interleaved)
Thread 5: [120.848] ms (75 rows, interleaved)
Thread 11: [109.755] ms (75 rows, interleaved)
Thread 6: [148.849] ms (75 rows, interleaved)
Thread 10: [125.995] ms (75 rows, interleaved)
Thread 8: [150.831] ms (75 rows, interleaved)
Thread 0: [139.848] ms (75 rows, interleaved)
Thread 14: [142.583] ms (75 rows, interleaved)
Thread 4: [67.169] ms (75 rows, interleaved)
Thread 2: [68.021] ms (75 rows, interleaved)
Thread 7: [82.114] ms (75 rows, interleaved)
Thread 5: [91.498] ms (75 rows, interleaved)
Thread 14: [74.654] ms (75 rows, interleaved)
Thread 15: [74.432] ms (75 rows, interleaved)
Thread 11: [78.016] ms (75 rows, interleaved)
Thread 8: [102.210] ms (75 rows, interleaved)
Thread 12: [93.976] ms (75 rows, interleaved)
Thread 1: [113.173] ms (75 rows, interleaved)
Thread 6: [112.161] ms (75 rows, interleaved)
Thread 3: [114.818] ms (75 rows, interleaved)
Thread 10: [108.266] ms (75 rows, interleaved)
Thread 9: [123.931] ms (75 rows, interleaved)
Thread 13: [134.206] ms (75 rows, interleaved)
Thread 0: [140.114] ms (75 rows, interleaved)
Thread 2: [47.255] ms (75 rows, interleaved)
Thread 3: [47.178] ms (75 rows, interleaved)
Thread 1: [47.605] ms (75 rows, interleaved)
Thread 5: [47.275] ms (75 rows, interleaved)
Thread 4: [47.543] ms (75 rows, interleaved)
Thread 7: [47.157] ms (75 rows, interleaved)
Thread 6: [47.549] ms (75 rows, interleaved)
Thread 0: [47.245] ms (75 rows, interleaved)
Thread 12: [51.824] ms (75 rows, interleaved)
Thread 10: [55.782] ms (75 rows, interleaved)
Thread 14: [55.733] ms (75 rows, interleaved)
Thread 11: [56.925] ms (75 rows, interleaved)
Thread 15: [56.184] ms (75 rows, interleaved)
Thread 9: [56.042] ms (75 rows, interleaved)
Thread 13: [58.656] ms (75 rows, interleaved)
Thread 8: [53.934] ms (75 rows, interleaved)
Thread 2: [47.607] ms (75 rows, interleaved)
Thread 1: [48.451] ms (75 rows, interleaved)
Thread 0: [47.441] ms (75 rows, interleaved)
Thread 4: [49.126] ms (75 rows, interleaved)
Thread 3: [51.050] ms (75 rows, interleaved)
Thread 6: [51.929] ms (75 rows, interleaved)
Thread 5: [55.153] ms (75 rows, interleaved)
Thread 8: [47.357] ms (75 rows, interleaved)
Thread 10: [46.060] ms (75 rows, interleaved)
Thread 11: [64.311] ms (75 rows, interleaved)
Thread 13: [71.549] ms (75 rows, interleaved)
Thread 12: [70.010] ms (75 rows, interleaved)
Thread 14: [71.077] ms (75 rows, interleaved)
Thread 7: [118.428] ms (75 rows, interleaved)
Thread 15: [75.328] ms (75 rows, interleaved)
Thread 9: [124.817] ms (75 rows, interleaved)
[mandelbrot thread]:		[109.478] ms
Wrote image file mandelbrot-thread.ppm
				(10.40x speedup from 16 threads)
